Town,State/Province,Number,Latitude,Longitude,Date
Tyler,TX,1,32.3,-95.3,10/20/2003
Yucca,AZ,1,34.8,-114.2,10/19/2003
Laurel,MS,1,31.7,-89.1,10/18/2003
Monclova,COA,1,26.8,-101.5,10/18/2003
Kingwood,TX,1,30.1,-95.2,10/17/2003
AcuÒa,COA,1,29,-101,10/17/2003
Mandeville,LA,1,30.4,-90,10/17/2003
Garland,TX,1,32.9,-96.6,10/16/2003
Laurel,MS,1,31.7,-89.1,10/16/2003
Tyler,TX,1,32.3,-95.3,10/16/2003
Saltillo,COA,1,25.4,-101,10/16/2003
Del Rio,TX,1,29.9,-100.9,10/15/2003
Sabinas,COA,1,27.8,-101.1,10/15/2003
Mandeville (St. Tammany Parish),LA,1,30.4,-90.1,10/12/2003
Liberty Hill,TX,1,30.7,-97.9,10/11/2003
Mansfield,TX,1,32.6,-97.1,10/10/2003
Shelburne,VT,1,44.4,-73.2,10/10/2003
Clarkesville,GA,1,34.7,-83.5,10/10/2003
Sulphur Rock,AR,1,35.7,-91.5,10/8/2003
Frisco,TX,1,33.2,-96.8,10/7/2003
Dalworthington Gardens,TX,1,32.4,-97.1,10/7/2003
Asheville,NC,1,35.6,-82.6,10/7/2003
Texarkana,AR,1,33.5,-93.9,10/6/2003
Gloucester,MA,1,42.6,-70.7,10/6/2003
Broken Bow,OK,1,34.1,-94.8,10/6/2003
Mc Kinney,TX,1,33.2,-96.6,10/5/2003
Boothbay Harbor,ME,1,43.9,-69.6,10/5/2003
Ooltewah,TN,1,35.1,-85,10/4/2003
Murfreesboro,TN,1,35.9,-86.4,10/4/2003
Garland,TX,1,32.9,-96.6,10/3/2003
Tioga,TX,1,33.5,-96.9,10/3/2003
Dallas,TX,1,32.8,-96.8,10/2/2003
Venus,TX,1,32.4,-97.1,10/2/2003
Venus,TX,1,32.4,-97.1,10/2/2003
dallas,TX,1,32.8,-96.8,10/2/2003
Dallas,TX,1,32.8,-96.8,10/2/2003
Garland,TX,1,32.9,-96.6,10/2/2003
Dalworthington Gardens,TX,1,32.4,-97.1,10/2/2003
Graham,TX,1,33.1,-98.6,10/2/2003
North Olmsted,OH,1,41.4,-81.9,10/1/2003
Cleveland,OH,1,41.5,-81.7,10/1/2003
North Olmsted,OH,1,41.4,-81.9,10/1/2003
Carey,OH,1,40.9,-83.4,10/1/2003
Russellville,AR,1,35.3,-93.1,9/29/2003
Bethlehem,PA,1,40.6,-75.4,9/29/2003
Beach Haven,NJ,1,39.6,-74.2,9/29/2003
Mt. Sherman,KY,1,37.5,-85.7,9/28/2003
Branson,MO,1,36.6,-93.2,9/28/2003
Shelburne,VT,1,44.4,-73.2,9/27/2003
DeSoto,MO,1,38.6,-90.2,9/27/2003
Tahlequah,OK,1,35.9,-95,9/27/2003
Newcastle,ON,1,43.9,-78.6,9/25/2003
Hyde Park,NY,1,41.8,-73.9,9/24/2003
Tarkio,MO,1,40.4,-95.3,9/24/2003
Middleburg,PA,1,40.8,-77,9/24/2003
Cub Run,KY,1,37.3,-86.1,9/23/2003
Winfield,KS,1,37.2,-96.9,9/21/2003
Kansas City,MO,1,39.1,-94.6,9/21/2003
Newcastle,ON,1,43.9,-78.6,9/20/2003
Kansas City,MO,1,39.1,-94.6,9/20/2003
Pecatonica,IL,1,42.3,-89.3,9/19/2003
Chicago,IL,1,41.9,-87.6,9/17/2003
Toronto,ON,1,43.4,-79.3,9/17/2003
Chicago,IL,1,41.9,-87.6,9/16/2003
Kenosha,WI,1,42.6,-87.8,9/16/2003
Piper City,IL,1,40.8,-88.2,9/15/2003
Kansas City,MO,1,39.1,-94.6,9/14/2003
Prairie City,IA,1,41.6,-93.3,9/14/2003
Kansas City,MO,1,39.1,-94.6,9/14/2003
Pella,IA,1,41.4,-92.9,9/14/2003
Warrenville,IL,1,41.8,-88.2,9/13/2003
Manhattan,KS,1,39.2,-96.6,9/13/2003
Tarkio,MO,1,40.4,-95.3,9/12/2003
Detroit,MI,1,42.3,-83.1,9/10/2003
St. Joseph,MI,1,39.5,-94.5,9/9/2003
Port Burwell,ON,1,42.4,-80.5,9/8/2003
Amherstburg,ON,1,42.1,-83.1,9/8/2003
Kalona,IA,1,41.5,-91.7,9/7/2003
Oshawa,ON,1,43.5,-78.5,9/7/2003
Prairie City,IA,1,41.6,-93.3,9/6/2003
Toronto,ON,1,43.4,-79.3,9/6/2003
Wantagh,NY,1,40.7,-73.5,9/6/2003
Laurens,IA,1,42.8,-94.9,9/4/2003
Kingston,ON,1,44.2,-76.3,9/4/2003
Pella,IA,1,41.4,-92.9,9/3/2003
Pella,IA,1,41.4,-92.9,9/3/2003
Mackinac Island,MI,1,45.9,-84.6,9/2/2003
Spectacle Reef,MI,1,45.8,-84.1,9/2/2003
Windom,MN,1,43.9,-95.2,8/30/2003
Glencoe,MN,1,44.8,-94.2,8/29/2003
Fergus Falls,MN,1,46.3,-96.1,8/29/2003
Bobcaygeon,ON,1,44.6,-78.6,8/29/2003
Wayzata,MN,1,45,-93.5,8/28/2003
St. Helena Island,MI,1,45.9,-84.9,8/27/2003
Rome,GA,1,34.3,-85.1,10/30/2004
Tyler,TX,1,32.3,-95.3,10/29/2004
Cayucos,CA,1,35.5,-120.9,10/27/2004
Santa Maria,CA,1,34.9,-120.4,10/25/2004
Birmingham,AL,1,33.5,-86.8,10/24/2004
New Braufels,TX,1,29.5,-98.5,10/23/2004
Fort Hood,TX,1,31.1,-97.8,10/21/2004
Cumbres de Monterrey,NL,1,25.4,-100.6,10/17/2004
Monterrey (norte de),NL,1,25.7,-100.4,10/16/2004
Saltillo,COA,1,25.4,-101,10/16/2004
Comstock,TX,1,30,-101.4,10/16/2004
Carrizo Springs,TX,1,28.5,-100,10/15/2004
Garza GarcÌa,NL,1,25.5,-100.2,10/15/2004
Rome,GA,1,34.3,-85.1,10/14/2004
Carrizo Springs,TX,1,28.5,-100,10/12/2004
Manitou Springs,CO,1,38.8,-104.9,10/12/2004
Eagle Pass,TX,1,28.5,-100.5,10/12/2004
Ciudad AcuÒa,COA,1,29,-101,10/11/2004
Dilley,TX,1,28.7,-99.3,10/11/2004
Knippa,TX,1,29.3,-99.6,10/10/2004
Hondo,TX,1,29.4,-99.1,10/10/2004
Utopia,TX,1,29.6,-99.6,10/10/2004
Uvalde,TX,1,29.3,-99.9,10/10/2004
Junction,TX,1,30.4,-99.6,10/10/2004
Del Rio,TX,1,29.9,-100.9,10/10/2004
Junction,TX,1,30.4,-99.6,10/9/2004
Del Rio,TX,1,29.9,-100.9,10/9/2004
Del Rio,TX,1,29.9,-100.9,10/8/2004
Putnam,TX,1,32.4,-99.3,10/8/2004
Del Rio,TX,1,29.9,-100.9,10/8/2004
Murfreesboro,TN,1,35.9,-86.4,10/7/2004
Superior,AZ,1,33.3,-111.2,10/6/2004
KIngfisher,OK,1,35.9,-98,10/5/2004
Kingfisher,OK,1,35.9,-98,10/5/2004
Lufkin,TX,1,31.4,-94.7,10/5/2004
San Angelo,TX,1,31.6,-100.5,10/4/2004
Sweet Briar,VA,1,37.6,-79.1,10/4/2004
Abilene,TX,1,32.5,-99.7,10/3/2004
Moore,OK,1,35.3,-97.5,10/3/2004
Lawton,OK,1,34.5,-98.3,10/2/2004
Little Rock,AR,1,34.7,-92.3,10/1/2004
Hyrum,UT,1,41.6,-111.8,10/1/2004
Oklahoma City,OK,1,35.4,-97.5,10/1/2004
Pennsville,NJ,1,39.6,-75.5,9/27/2004
Rule,TX,1,33.2,-99.9,9/27/2004
Fredonia,NY,1,42.4,-79.3,9/26/2004
Oakville,ON,1,43.3,-79.4,9/26/2004
Maple Grove,MN,1,45.2,-93.6,9/25/2004
Kalona,IA,1,41.5,-91.7,9/25/2004
Shenandoah,IA,1,40.7,-95.3,9/25/2004
Wilber,NE,1,40.5,-97,9/24/2004
Woodhaven,MI,1,42.1,-83.2,9/23/2004
Prairie City,IA,1,41.6,-93.3,9/22/2004
West Bend,WI,1,43.4,-88.2,9/21/2004
Columbus,OH,1,40.1,-83,9/18/2004
Windsor,ON,1,42.2,-83,9/5/2004
Farmington,MN,1,44.7,-93.1,9/2/2004
Angangueo,MIC,1,19.6,-100.3,8/1/2004
Tequisquiapan,QUE,1,20.3,-99.5,11/7/2005
Port Lavaca,TX,1,28.5,-96.7,11/3/2005
Angangueo,MIC,1,19.6,-100.3,11/3/2005
Saltillo,COA,1,25.4,-101,11/1/2005
Governor's Harbour,Central Eleuthera,1,25.2,-76.2,10/31/2005
Angangueo,MIC,1,19.6,-100.3,10/28/2005
Crystal River,FL,1,29,-82.6,10/28/2005
Corpus Christi,TX,1,27.8,-97.4,10/27/2005
Port Lavaca,TX,1,28.5,-96.7,10/25/2005
Saltillo,COA,1,25.4,-101,10/25/2005
Matagorda Bay,TX,1,28.6,-96.2,10/24/2005
George Town,Exuma,1,23.5,-75.8,10/24/2005
Jackson,NJ,1,40.1,-74.4,10/23/2005
Springfield,MO,1,37.2,-93.3,10/22/2005
Eagle Pass,TX,1,28.5,-100.5,10/22/2005
Port O'Connor,TX,1,28.4,-96.4,10/22/2005
Perdido Key,FL,1,30.3,-87.4,10/22/2005
Port Lavaca,TX,1,28.5,-96.7,10/21/2005
Dallas,TX,1,32.8,-96.8,10/21/2005
Glenn Heights,TX,1,32.5,-96.9,10/20/2005
Saltillo,COA,1,25.4,-101,10/19/2005
Phoenix,AZ,1,33.5,-112.1,10/17/2005
Lytle,TX,1,29.2,-98.8,10/17/2005
beach haven surf city,NJ,1,39.5,-74.3,10/17/2005
Montgomery County,MD,1,39.1,-77.2,10/17/2005
Cape May,NJ,1,39,-74.9,10/17/2005
Ramos Arizpe,COA,1,25.3,-101,10/17/2005
San Antonio,TX,1,29.5,-98.5,10/16/2005
Ortley Beach,NJ,1,39.9,-74.1,10/16/2005
Westport,CT,1,41.1,-73.3,10/16/2005
Cedar Park,TX,1,30.5,-97.8,10/16/2005
Hondo,TX,1,29.4,-99.1,10/16/2005
Kerrville,TX,1,30,-99.1,10/16/2005
Austin,TX,1,30.2,-97.7,10/16/2005
Scottsdale,AZ,1,33.5,-111.9,10/16/2005
Sun City West,AZ,1,33.7,-112.4,10/16/2005
durham,NC,1,36,-78.9,10/16/2005
Saltillo,COA,1,25.4,-101,10/16/2005
Saltillo,COA,1,25.4,-101,10/16/2005
San Antonio,TX,1,29.5,-98.5,10/15/2005
Lewisville,TX,1,33,-97.1,10/15/2005
Eagle Pass,TX,1,28.5,-100.5,10/15/2005
Cape Charles,VA,1,37.3,-76,10/15/2005
Sabine Woods,TX,1,29.7,-93.9,10/15/2005
Honey Creek State Natural Area,TX,1,29.9,-98.5,10/15/2005
San Pedro Garza GarcÌa,NL,1,25.5,-100.2,10/15/2005
San Antonio,TX,1,29.5,-98.5,10/14/2005
Tarpley,TX,1,29.6,-99.2,10/14/2005
Del Rio,TX,1,29.9,-100.9,10/14/2005
Assateague Island,VA,1,38,-75.3,10/14/2005
Uvalde,TX,1,29.3,-99.9,10/14/2005
San Angelo,TX,1,31.6,-100.5,10/14/2005
Canyon Lake,TX,1,29.9,-98.3,10/14/2005
Dallas,TX,1,32.8,-96.8,10/14/2005
San Antonio,TX,1,29.5,-98.5,10/14/2005
Rockwall,TX,1,32.9,-96.4,10/14/2005
Nueces River,TX,1,27.8,-97.5,10/14/2005
San Antonio,TX,1,29.5,-98.5,10/14/2005
Plano,TX,1,33.1,-96.7,10/14/2005
Tijeras,NM,1,35,-106.3,10/14/2005
Dallas,TX,1,32.8,-96.8,10/13/2005
Bedford,TX,1,32.9,-97.1,10/13/2005
Euless,TX,1,32.9,-97.1,10/13/2005
Kerrville,TX,1,30,-99.1,10/13/2005
Arlington,TX,1,32.6,-97.2,10/13/2005
Southlake,TX,1,33,-97.1,10/13/2005
Bend,TX,1,31.1,-98.5,10/13/2005
Carrollton,TX,1,33,-96.9,10/13/2005
Hewitt,TX,1,31.5,-97.2,10/13/2005
San Antonio,TX,1,29.5,-98.5,10/13/2005
Lake Ray Hubbard,TX,1,32.8,-96.5,10/13/2005
Wimberley,TX,1,30.1,-98.1,10/13/2005
Carrollton,TX,1,33,-96.9,10/13/2005
Bee Cave,TX,1,30.3,-97.9,10/13/2005
Lucas,TX,1,33.1,-96.6,10/13/2005
San Antonio,TX,1,29.5,-98.5,10/13/2005
Monclova,COA,1,26.8,-101.5,10/13/2005
Austin,TX,1,30.2,-97.7,10/12/2005
Pilot Point,TX,1,33.3,-96.9,10/12/2005
Hewitt,TX,1,31.5,-97.2,10/12/2005
Jollyville,TX,1,30.4,-97.8,10/12/2005
Dallas,TX,1,32.8,-96.8,10/12/2005
Richardson,TX,1,33,-96.7,10/12/2005
Piedras Negras,COA,1,28.4,-100.3,10/12/2005
Saltillo,COA,1,25.4,-101,10/12/2005
Dallas,TX,1,32.8,-96.8,10/11/2005
Dallas,TX,1,32.8,-96.8,10/11/2005
Waxahachie,TX,1,32.3,-96.8,10/11/2005
Seagoville,TX,1,32.6,-96.6,10/11/2005
White Shaman Preserve,TX,1,29.4,-100.9,10/11/2005
Eagle Pass,TX,1,28.5,-100.5,10/11/2005
Sonora,TX,1,30.5,-100.5,10/11/2005
Kennesaw,GA,1,34,-84.6,10/11/2005
Dallas,TX,1,32.8,-96.8,10/11/2005
Cedar Hill,TX,1,32.6,-97,10/11/2005
Allen,TX,1,33.1,-96.6,10/11/2005
Elizabethton,TN,1,36.4,-82.1,10/11/2005
Austin,TX,1,30.2,-97.7,10/11/2005
Muenster,TX,1,33.7,-97.4,10/11/2005
Monclova,COA,1,26.8,-101.5,10/11/2005
Piedras Negras,COA,1,28.4,-100.3,10/11/2005
Richardson,TX,1,33,-96.7,10/11/2005
Cub Run,KY,1,37.3,-86.1,10/10/2005
Cleburne,TX,1,32.3,-97.5,10/10/2005
Dallas,TX,1,32.8,-96.8,10/10/2005
Slaton,TX,1,33.4,-101.7,10/10/2005
Royse City,TX,1,33,-96.4,10/10/2005
Del Rio,TX,1,29.9,-100.9,10/10/2005
Plano,TX,1,33.1,-96.7,10/10/2005
Devils River State Natural Area,TX,1,29.9,-100.9,10/10/2005
Mc Kinney,TX,1,33.2,-96.6,10/9/2005
Evansville,IN,1,38,-87.6,10/9/2005
Eagle Pass,TX,1,28.5,-100.5,10/9/2005
Junction,TX,1,30.4,-99.6,10/9/2005
Austin,TX,1,30.2,-97.7,10/9/2005
Old Glory,TX,1,33.3,-100.1,10/9/2005
Austin,TX,1,30.2,-97.7,10/9/2005
Collin County,TX,1,33.2,-96.6,10/9/2005
Bertram,TX,1,30.7,-98,10/9/2005
AcuÒa,COA,1,29,-101,10/9/2005
Camp Wood,TX,1,29.7,-100,10/8/2005
Irving,TX,1,32.9,-97,10/8/2005
Mc Kinney,TX,1,33.2,-96.6,10/8/2005
Dallas,TX,1,32.8,-96.8,10/8/2005
Del Rio,TX,1,29.9,-100.9,10/8/2005
Junction,TX,1,30.4,-99.6,10/8/2005
Vance,TX,1,29.8,-100,10/8/2005
Haltom City,TX,1,32.8,-97.3,10/8/2005
Dallas,TX,1,32.8,-96.8,10/8/2005
Menard,TX,1,30.9,-99.8,10/8/2005
Plano,TX,1,33.1,-96.7,10/8/2005
Dallas,TX,1,32.8,-96.8,10/8/2005
Dallas,TX,1,32.8,-96.8,10/8/2005
Texarkana,AR,1,33.5,-93.9,10/8/2005
Knoxville,TN,1,35.9,-84,10/7/2005
Odessa,TX,1,31.8,-102.3,10/6/2005
Syracuse,NY,1,43,-76.2,10/6/2005
Fort McKavett,TX,1,30.8,-100.1,10/6/2005
Coleman,TX,1,31.9,-99.4,10/6/2005
Woodlawn,VA,1,36.8,-80.9,10/5/2005
Calumet,OK,1,35.6,-98.2,10/5/2005
Tulsa,OK,1,36.1,-96,10/5/2005
Lawton,OK,1,34.5,-98.3,10/5/2005
Lake George,NY,1,43.4,-73.7,10/5/2005
St. Louis,MO,1,38.6,-90.2,10/5/2005
Weiner,AR,1,35.6,-90.9,10/4/2005
Bowie,MD,1,39,-76.7,10/4/2005
St. Paul,AR,1,35.9,-93.7,10/4/2005
Sonora,TX,1,30.5,-100.5,10/4/2005
Odessa,TX,1,31.8,-102.3,10/4/2005
KIngfisher,OK,1,35.9,-98,10/4/2005
Tipton,MO,1,38.6,-92.8,10/4/2005
Ozona,TX,1,30.7,-101.4,10/4/2005
Abilene,TX,1,32.5,-99.7,10/4/2005
LaGrange,KY,1,38.3,-85.5,10/4/2005
Newport News,VA,1,37.1,-76.5,10/4/2005
Weiner,AR,1,35.6,-90.9,10/3/2005
Hilton Head,SC,1,32.2,-80.7,10/3/2005
Fishers Island,NY,1,41.3,-72,10/2/2005
Gloucester,MA,1,42.6,-70.7,10/2/2005
Wall,TX,1,31.4,-100.3,10/2/2005
Milford,CT,1,41.2,-73.1,10/2/2005
Jonesboro,AR,1,35.8,-90.7,10/2/2005
Lawton,OK,1,34.5,-98.3,10/2/2005
Eden,TX,1,31.2,-99.9,10/2/2005
Portsmouth,NH,1,43.1,-70.8,10/2/2005
North Little Rock,AR,1,34.7,-92.4,10/1/2005
Yukon,OK,1,35.5,-97.8,10/1/2005
Keansburg,NJ,1,40.4,-74.1,10/1/2005
Lake Ozark,MO,1,38.2,-92.7,10/1/2005
Midland,TX,1,32,-102.1,10/1/2005
Midland,TX,1,32,-102.1,10/1/2005
Lexington,MA,1,42.4,-71.2,10/1/2005
Long Creek,GA,1,34.6,-83.6,10/1/2005
Cape May,NJ,1,39,-74.9,9/30/2005
Cape May Point,NJ,1,38.9,-75,9/30/2005
Summerville,GA,1,34.5,-85.3,9/30/2005
Eden,TX,1,31.2,-99.9,9/29/2005
Mertzon,TX,1,31.3,-100.9,9/29/2005
Bend,TX,1,31.1,-98.5,9/29/2005
richmond,VA,1,37.5,-77.4,9/29/2005
Oklahoma City,OK,1,35.4,-97.5,9/29/2005
San Angelo,TX,1,31.6,-100.5,9/29/2005
Centralia,MO,1,39.2,-92.2,9/29/2005
Woodbridge,NJ,1,40.6,-74.3,9/28/2005
Roanoke,VA,1,37.3,-79.9,9/28/2005
St. Louis,MO,1,38.6,-90.2,9/28/2005
Mystic,CT,1,41.4,-72,9/28/2005
Fisherman Island,VA,1,37.1,-76,9/28/2005
Graham,TX,1,33.1,-98.6,9/28/2005
Sweetwater,TX,1,32.5,-100.3,9/28/2005
KIngfisher,OK,1,35.9,-98,9/28/2005
Lake Ozark,MO,1,38.2,-92.7,9/27/2005
Oklahoma City,OK,1,35.4,-97.5,9/27/2005
Emporia,KS,1,38.6,-96.2,9/27/2005
Perry,OK,1,36.3,-97.3,9/27/2005
Kingfisher,OK,1,35.9,-98,9/27/2005
Wichita Falls,TX,1,34,-98.5,9/27/2005
McLean,VA,1,38.9,-77.2,9/27/2005
Graham,TX,1,33.1,-98.6,9/27/2005
Brevard,NC,1,35.2,-82.8,9/27/2005
Rule,TX,1,33.2,-99.9,9/26/2005
Ponca City,OK,1,36.7,-97.1,9/26/2005
Ventnor,NJ,1,39.3,-74.5,9/26/2005
Chickasha,OK,1,35,-98,9/26/2005
Oklahoma City,OK,1,35.4,-97.5,9/26/2005
St. Marks,KS,1,37.8,-98,9/25/2005
Russiaville,IN,1,40.4,-86.3,9/25/2005
Newton,NJ,1,41.1,-74.8,9/25/2005
Ellis,KS,1,39,-99.4,9/25/2005
Louisville,KY,1,38.3,-85.8,9/25/2005
Kansas City,MO,1,39.1,-94.6,9/24/2005
Kansas City,MO,1,39.1,-94.6,9/24/2005
Trout Run,PA,1,41.4,-77,9/24/2005
Milwaukee,WI,1,43,-87.9,9/24/2005
"Lawrence, Kansas",KS,1,39,-94.6,9/24/2005
Akron,OH,1,41,-81.5,9/23/2005
Jerusalem Township,OH,1,41.7,-83.3,9/23/2005
Essex,VT,1,44.5,-73.1,9/23/2005
Cape May Point,NJ,1,38.9,-75,9/22/2005
Excelsior Springs,MO,1,39.3,-94.2,9/22/2005
Derby,KS,1,37.5,-97.2,9/22/2005
Champaign,IL,1,40.1,-88.2,9/22/2005
Barker,NY,1,43.3,-78.5,9/22/2005
Norwalk,CT,1,41.1,-73.4,9/22/2005
Port Dover,ON,1,42.8,-80.2,9/21/2005
Shelburne,VT,1,44.4,-73.2,9/21/2005
Amherst,MA,1,42.4,-72.5,9/21/2005
Wooster,OH,1,40.8,-82,9/21/2005
Fairview Heights,IL,1,38.6,-90,9/20/2005
Tarkio,MO,1,40.4,-95.3,9/20/2005
Padua,IL,1,40.4,-88.7,9/19/2005
Dunkirk,NY,1,42.5,-79.3,9/19/2005
Toronto,ON,1,43.7,-79.4,9/19/2005
Port Burwell,ON,1,42.7,-80.8,9/19/2005
Mystic,CT,1,41.4,-72,9/19/2005
Loda,IL,1,40.5,-88.1,9/18/2005
Trafalgar,IN,1,39.4,-86.2,9/18/2005
Roseland,VA,21,37.8,-79,9/18/2005
Port Burwell,ON,1,42.7,-80.8,9/18/2005
Southborough,MA,1,42.4,-71.4,9/18/2005
Horton,KS,1,39.7,-95.5,9/18/2005
Thurman,IA,1,40.8,-95.8,9/17/2005
Barnesville,MN,1,46.7,-96.3,9/17/2005
Algona,IA,1,43.1,-94.2,9/15/2005
Toronto,ON,1,43.7,-79.4,9/15/2005
Hamilton,ON,1,43.2,-79.5,9/15/2005
TWIN LAKES,WI,1,42.5,-88.3,9/14/2005
Omaha,NE,1,41.3,-95.9,9/14/2005
Mequon,WI,1,43.2,-88,9/14/2005
Lincoln,NE,1,40.8,-96.7,9/14/2005
Ottumwa,IA,1,41,-92.4,9/14/2005
Toronto,ON,1,43.7,-79.4,9/14/2005
Spring Creek,NE,1,41.5,-99.3,9/14/2005
Lewistown,MO,1,40.1,-91.8,9/14/2005
Mishicot & Two Rivers,WI,1,44.3,-87.6,9/14/2005
Alamo,MI,1,42.3,-85.7,9/14/2005
Two Rivers,WI,1,44.2,-87.6,9/14/2005
Amherst,MA,1,42.4,-72.5,9/14/2005
Swanton,MD,1,39.5,-79.2,9/13/2005
Chicago,IL,1,41.9,-87.6,9/12/2005
Pukwana,SD,1,43.8,-99.2,9/11/2005
Victoria,MN,1,44.9,-93.7,9/11/2005
Whitby,ON,1,43.9,-78.9,9/11/2005
Adrian,MI,1,41.9,-84.1,9/10/2005
Belle Plaine,IA,1,41.9,-92.2,9/9/2005
Fulton,SD,1,43.8,-97.9,9/9/2005
Ottumwa,IA,1,41,-92.4,9/9/2005
Cobourg,ON,1,44,-78.2,9/9/2005
Port Hope,ON,1,44,-78.2,9/8/2005
Prairie City,IA,1,41.6,-93.3,9/8/2005
Menno,SD,1,43.2,-97.5,9/8/2005
Windsor,ON,1,42.2,-83,9/8/2005
Brownstown,MI,1,42.1,-83.2,9/8/2005
Evanston,IL,1,42.1,-87.7,9/7/2005
Cannon Falls,MN,1,44.5,-92.8,9/7/2005
Holiday Beach,ON,1,42.1,-83.1,9/6/2005
Decorah,IA,1,43.4,-91.8,9/5/2005
Pipestone,MN,1,44.1,-96.3,9/5/2005
Milwaukee,WI,1,43,-87.9,9/5/2005
Keene,NY,1,44.3,-73.8,9/4/2005
Michigan City,IN,1,41.7,-86.9,9/4/2005
Watertown,SD,1,44.9,-97.2,9/4/2005
Watertown,SD,1,44.9,-97.2,9/4/2005
Ames,IA,1,42.1,-93.6,9/4/2005
Auburn,NH,1,43,-71.3,9/4/2005
Melrose,WI,1,44.1,-91.1,9/4/2005
Port Stanley,ON,1,42.7,-81.2,9/4/2005
Cedar Rapids,IA,1,42,-91.7,9/3/2005
Hamburg,NY,1,42.7,-78.8,9/3/2005
Mexico,NY,1,43.5,-76.2,9/3/2005
Toronto,ON,1,43.7,-79.4,9/2/2005
Winnebago,IL,1,42.3,-89.2,9/2/2005
Kingston,ON,1,44.2,-76.3,9/2/2005
Cobourg,ON,1,44,-78.2,9/2/2005
Warren,MI,1,42.5,-83,9/2/2005
Thurman,IA,1,40.8,-95.8,9/1/2005
Lennox,SD,1,43.3,-96.9,9/1/2005
Prairie City,IA,1,41.6,-93.3,9/1/2005
Muskegon,MI,1,43.2,-86.3,8/31/2005
Reese,MI,1,43.5,-83.7,8/31/2005
Saugatuck,MI,1,42.7,-86.2,8/30/2005
Harrisburg,SD,1,43.4,-96.7,8/30/2005
Wessington Springs,SD,1,44.1,-98.7,8/30/2005
White Bear Lake,MN,1,45.1,-93,8/30/2005
Sioux Falls,SD,1,43.5,-96.7,8/29/2005
Sioux Falls,SD,1,43.5,-96.7,8/29/2005
Brooklyn Park,MN,1,45,-93.3,8/28/2005
Northfield,MN,1,44.5,-93.2,8/28/2005
Rosebush,MI,1,43.7,-84.8,8/28/2005
Raymond,MN,1,45,-95.2,8/27/2005
Northfield,MN,1,44.5,-93.2,8/27/2005
Shawano,IA,1,44.5,-88.4,8/27/2005
Hassan,MN,1,45.2,-93.6,8/26/2005
New Richmond,WI,1,45.2,-92.6,8/26/2005
Brooklyn Park,MN,1,45,-93.3,8/25/2005
Watertown,SD,1,44.9,-97.2,8/24/2005
Campbell,MN,1,46.1,-96.4,8/24/2005
watertown,SD,1,44.9,-97.2,8/23/2005
Nicollet,MN,1,44.3,-94.2,8/22/2005
Northfield,MN,1,44.5,-93.2,8/21/2005
Presqu'ile Provincial Park,ON,1,43.7,-79.4,8/19/2005
Angangueo,MIC,1,19.6,-100.3,12/26/2006
Tequisquiapan,QUE,1,20.5,-99.9,11/11/2006
Tequisquiapan,QUE,1,20.5,-99.9,11/8/2006
Rio Frio,TX,1,29.7,-99.8,11/7/2006
Port Lavaca,TX,1,28.5,-96.7,11/7/2006
Queretaro,QUE,1,20.6,-100.4,11/2/2006
Queretaro,QUE,1,20.6,-100.4,11/2/2006
Queretaro,QUE,1,20.6,-100.4,11/2/2006
Port Lavaca,TX,1,28.5,-96.7,11/2/2006
Sullivans Island,SC,1,32.8,-79.8,10/30/2006
Port Lavaca,TX,1,28.5,-96.7,10/29/2006
Port Lavaca,TX,1,28.5,-96.7,10/28/2006
Mercedes,TX,1,26.1,-97.9,10/28/2006
Charleston,SC,1,32.8,-79.9,10/27/2006
Tequisquiapan,QUE,1,20.5,-99.9,10/26/2006
Saltillo,COA,1,25.4,-101,10/26/2006
Saltillo,COA,1,25.4,-101,10/26/2006
Saltillo,COA,1,25.4,-101,10/24/2006
Port Lavaca,TX,1,28.5,-96.7,10/24/2006
Saltillo,COA,1,25.4,-101,10/24/2006
Saltillo,COA,1,25.4,-101,10/23/2006
Saltillo,COA,1,25.4,-101,10/22/2006
Pensacola,FL,1,30.4,-87.2,10/22/2006
Saltillo,COA,1,25.4,-101,10/22/2006
Galeana,NL,1,24.8,-100.1,10/22/2006
Monclava,COA,1,26.8,-101.5,10/22/2006
Houston,TX,1,29.8,-95.4,10/21/2006
Austin,TX,1,30.2,-97.7,10/21/2006
La Marque,TX,1,29.4,-95,10/21/2006
Monterrey,NL,1,25.7,-100.3,10/21/2006
Comanche,TX,1,31.9,-98.7,10/21/2006
Saltillo,COA,1,25.4,-101,10/21/2006
Arteaga,COA,1,25.5,-100.9,10/21/2006
El Carmen,COA,1,26.8,-101.5,10/21/2006
Texas City,TX,1,29.4,-94.9,10/20/2006
Austin,TX,1,30.2,-97.7,10/20/2006
Monterrey,NL,1,25.7,-100.3,10/20/2006
Saltillo,COA,1,25.4,-101,10/20/2006
CuatociÈnegas,COA,1,27,-102.1,10/20/2006
Escobedo,NL,1,25.2,-99.9,10/20/2006
Mercedes,TX,1,26.1,-97.9,10/19/2006
Roma,TX,1,26.6,-99,10/19/2006
Saltillo,COA,1,25.4,-101,10/19/2006
Monterrey,NL,1,25.7,-100.3,10/19/2006
Monterrey,NL,1,25.7,-100.3,10/19/2006
San Antonio,TX,1,29.5,-98.5,10/18/2006
San Antonio,TX,1,29.5,-98.5,10/18/2006
Kingfisher,OK,1,35.9,-98,10/17/2006
